IC50,Cancer,Drug,PKA_137_POL_X_Fingerprint_576,EXP_BRD4_X_EXP_MYC,EXP_BRD4_X_EXP_NUMA1,EXP_IRAK3_X_EXP_IL1RAP,EXP_MAP2K7_X_EXP_PIK3CG,Predicted IC50,Validation
-0.148069,1240212,235,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,3
2.071781,1298134,235,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,10
1.925701,687505,249,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,7
3.324424,687506,249,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,2
4.497147,724839,249,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,1
1.958724,906824,249,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,5
2.795553,906843,249,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,5
3.263175,907068,249,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,1
4.864037,930297,249,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,5
5.163415,930298,249,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,2
3.480735,1240212,249,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,1
3.469256,1298134,249,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,7
0.276822,687505,252,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,6
1.015192,687506,252,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,2
1.370579,724839,252,0,46.246534785,32.952153584,15.868346125,12.638631606,3.3811292572,7
-2.22532,906824,252,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,9
0.377577,906843,252,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,9
